,City,Cloudiness (%),Country code,Date,Humidity (%),Latitude,Longitude,Maximum Temperature (F),Wind Speed (miles/hr)
85,Praia,0,BR,1531717200,93,-20.25,-43.81,53.6,2.39
86,Punta Arenas,0,CL,1531720800,92,-53.16,-70.91,24.8,8.05
87,Bud,40,NO,1531722000,82,62.91,6.91,66.2,2.24
88,Burgos,75,ES,1531720800,82,42.34,-3.7,57.2,1.12
89,Hermanus,32,ZA,1531722914,87,-34.42,19.24,32.0,3.62
90,Longyearbyen,75,NO,1531722000,87,78.22,15.63,42.8,4.7
91,Mar del Plata,48,AR,1531722916,100,-46.43,-67.52,23.81,3.06
92,Kavaratti,68,IN,1531722917,100,10.57,72.64,80.24,25.32
93,Iquique,90,CL,1531720800,77,-20.22,-70.14,59.0,3.36
94,Hovd,0,NO,1531722000,68,63.83,10.7,69.8,2.24
95,Hasaki,75,JP,1531720800,59,35.73,140.83,93.2,10.29
96,Tasiilaq,20,GL,1531720200,65,65.61,-37.64,41.0,2.24
97,Saint George,0,GR,1531720200,45,39.45,22.34,82.4,3.36
98,Hunterville,0,ZA,1531722922,100,-26.77,27.93,36.59,8.1
99,Kieta,44,PG,1531722923,97,-6.22,155.63,81.14,3.62
100,Dingle,92,PH,1531722924,97,11.0,122.67,77.09,12.12
101,Jamestown,0,AU,1531722925,53,-33.21,138.6,57.92,11.56
102,Lavrentiya,0,RU,1531722926,83,65.58,-170.99,46.49,8.55
103,Huicungo,48,PE,1531722927,85,-7.28,-76.8,70.7,1.95
104,Vila Franca do Campo,20,PT,1531720800,82,37.72,-25.43,62.6,5.82
105,Bubaque,20,GW,1531720800,94,11.28,-15.83,77.0,3.36
106,Hobart,40,AU,1531720800,62,-42.88,147.33,53.6,11.41
107,Kenai,90,US,1531720560,67,60.55,-151.26,60.8,10.29
108,Clyde River,90,CA,1531720800,93,70.47,-68.59,35.6,6.93
109,Iqaluit,90,CA,1531720800,100,63.75,-68.52,37.4,9.17
110,Mahebourg,75,MU,1531720800,73,-20.41,57.7,75.2,5.82
111,Vao,0,EE,1531722934,72,59.1,26.19,74.12,4.18
112,Lebu,64,ET,1531722934,91,8.96,38.73,59.18,3.62
113,Kalakamati,0,BW,1531722935,77,-20.59,27.31,48.83,21.74
114,Weiser,1,US,1531720380,60,44.25,-116.97,71.6,3.36
115,Bredasdorp,8,ZA,1531720800,81,-34.53,20.04,50.0,5.82
116,Aklavik,40,CA,1531720800,59,68.22,-135.01,64.4,6.93
117,Xingyi,44,CN,1531722939,69,24.19,102.82,76.82,4.18
118,Caravelas,56,BR,1531722939,98,-17.73,-39.27,76.82,10.0
119,Viedma,56,AR,1531722940,85,-40.81,-62.99,37.49,2.95
120,Dikson,36,RU,1531722941,100,73.51,80.55,38.84,11.56
121,Fortuna,0,ES,1531722600,34,38.18,-1.13,80.6,9.17
122,Pampas,20,PE,1531722943,82,-12.4,-74.87,21.65,0.49
123,Upernavik,0,GL,1531722944,100,72.79,-56.15,36.14,12.8
124,Nurota,0,UZ,1531720800,21,40.56,65.69,95.0,9.17
125,Butaritari,68,KI,1531722945,100,3.07,172.79,81.32,2.39
126,Kautokeino,0,NO,1531722946,79,69.01,23.04,59.27,4.97
127,Kisangani,68,CD,1531722947,97,0.52,25.21,73.76,2.73
128,Pisco,90,PE,1531720800,88,-13.71,-76.2,62.6,10.29
129,Tateyama,75,JP,1531720800,50,36.66,137.31,96.8,6.93
130,Abha,40,SA,1531720800,16,18.22,42.5,86.0,5.82
131,Kirkwall,90,GB,1531722000,87,58.98,-2.96,57.2,6.93
132,Killybegs,88,IE,1531722953,100,54.63,-8.45,56.75,11.23
133,Wasilla,75,US,1531720380,72,61.58,-149.44,59.0,2.51
134,Gorin,40,US,1531721700,100,40.36,-92.02,73.4,3.74
135,Galdar,75,ES,1531722600,73,28.15,-15.65,69.8,26.4
136,Marsa Matruh,0,EG,1531717200,83,31.35,27.25,77.0,9.17
137,Mazagao,0,BR,1531720800,100,-0.12,-51.29,77.0,2.24
138,Kutum,20,SD,1531722957,65,14.2,24.66,75.02,16.6
139,Puerto Madryn,8,AR,1531722958,100,-42.77,-65.04,37.4,1.5
140,Kodiak,1,US,1531720380,94,39.95,-94.76,71.6,6.08
141,Rafai,76,CF,1531722960,100,4.95,23.92,69.89,4.74
142,Gorele,40,TR,1531720200,57,41.03,39.0,78.8,3.36
143,Nador,0,MA,1531722600,53,35.17,-2.93,73.4,13.87
144,Khandela,20,IN,1531722963,85,27.61,75.5,89.51,8.77
145,Nashville,1,US,1531721700,100,36.16,-86.77,75.2,3.74
146,Katastarion,0,GR,1531720200,74,37.83,20.77,78.8,3.36
147,Vanavara,68,RU,1531722965,72,60.35,102.28,60.71,7.2
148,Belmonte,8,PT,1531722966,86,40.36,-7.35,50.45,3.06
149,Ahipara,88,NZ,1531722967,90,-35.17,173.16,57.2,13.47
150,Mao,40,DO,1531720800,94,19.55,-71.08,78.8,5.82
151,Vila,75,IT,1531720200,82,45.18,8.4,71.6,8.05
152,Cairns,40,AU,1531720800,69,-16.92,145.77,77.0,6.93
153,Nyurba,48,RU,1531722971,56,63.29,118.35,67.55,7.09
154,Arona,75,IT,1531720200,82,45.76,8.56,69.8,8.05
155,Dharchula,100,IN,1531722973,96,29.85,80.53,61.16,1.16
156,Tukums,0,LV,1531722000,65,56.97,23.17,77.0,4.7
157,Marquette,1,US,1531721880,83,46.54,-87.4,71.6,6.64
158,Tooele,1,US,1531721700,33,40.53,-112.3,78.8,1.61
159,Sigli,36,ID,1531722977,65,5.38,95.96,89.96,0.72
160,Flin Flon,8,CA,1531722978,85,54.77,-101.88,51.44,10.56
161,Ampanihy,76,MG,1531722978,91,-24.69,44.75,61.7,16.49
162,Gusev,64,RU,1531722979,91,54.59,22.2,70.43,8.55
163,Grindavik,90,IS,1531721400,100,63.84,-22.43,50.0,12.75
164,Riverton,1,US,1531720380,49,43.02,-108.38,71.6,9.17
165,Avera,75,US,1531720500,94,33.19,-82.53,77.0,3.36
166,Moree,0,AU,1531722982,68,-29.46,149.84,55.94,5.41
167,Waingapu,48,ID,1531722983,56,-9.65,120.26,82.13,6.2
168,Carballo,40,ES,1531720800,93,43.21,-8.69,60.8,2.24
169,Morgan City,1,US,1531721700,100,29.7,-91.21,80.6,3.36
170,Lagoa,0,PT,1531720800,93,37.14,-8.45,60.8,3.36
171,Kumylzhenskaya,88,RU,1531722987,94,49.88,42.59,70.7,3.74
172,Kalmunai,68,LK,1531722987,62,7.42,81.82,89.69,6.98
173,Abu Samrah,0,SY,1531722988,50,35.3,37.18,83.39,6.2
174,College,90,US,1531720680,72,64.86,-147.8,59.0,9.17
175,Airai,8,TL,1531722990,39,-8.93,125.41,82.76,1.05
176,Ures,24,MX,1531722991,55,30.73,-112.95,85.37,7.43
177,Bhinmal,44,IN,1531722992,76,25.01,72.27,89.96,6.64
178,Faya,40,SA,1531720800,16,18.39,42.45,86.0,5.82
179,Victoria,75,BN,1531720800,70,5.28,115.24,91.4,5.82
180,Cherskiy,76,RU,1531722994,51,68.75,161.3,53.87,2.73
181,Herveo,40,CO,1531720800,94,5.08,-75.18,68.0,4.7
182,Talara,8,PE,1531722997,93,-4.58,-81.27,60.62,3.74
183,Otane,36,NZ,1531722999,81,-39.89,176.62,47.57,6.98
184,Lasa,20,CY,1531722600,83,34.92,32.53,84.2,9.17
185,Nome,1,US,1531721700,88,30.04,-94.42,82.4,4.7
186,Kindersley,20,CA,1531720800,76,51.47,-109.16,55.4,3.36
187,Zhigansk,0,RU,1531723003,36,66.77,123.37,62.42,11.56
188,Trairi,80,BR,1531723003,99,-3.28,-39.27,80.42,23.09
189,Port Elizabeth,1,US,1531720560,94,39.31,-74.98,75.2,4.7
190,Bethel,90,US,1531720920,93,60.79,-161.76,50.0,9.17
191,Baiyin,20,CN,1531720800,23,36.55,104.13,87.8,11.18
192,Lewistown,1,US,1531721700,100,40.39,-90.15,77.0,2.73
193,Pacific Grove,90,US,1531720500,87,36.62,-121.92,60.8,3.36
194,Narsaq,75,GL,1531720200,66,60.91,-46.05,50.0,4.7
195,San Policarpo,92,PH,1531723009,100,12.18,125.51,77.99,17.16
196,Lufilufi,20,WS,1531717200,83,-13.87,-171.6,80.6,3.36
197,Talas,20,TR,1531720200,49,38.69,35.55,68.0,5.82
198,Mitsamiouli,40,KM,1531720800,65,-11.38,43.28,82.4,18.34
199,Sur,0,OM,1531723013,85,22.57,59.53,89.51,4.74
200,Yamaranguila,40,HN,1531720680,88,14.28,-88.24,69.8,13.87
201,Laramie,1,US,1531720680,100,41.31,-105.59,59.0,10.29
202,Akureyri,90,IS,1531720800,93,65.68,-18.09,48.2,9.17
203,Lagos,40,NG,1531720800,88,6.46,3.39,77.0,2.24
204,Shihezi,80,CN,1531723019,26,44.3,86.03,88.25,4.74
205,Saint-Leu,0,RE,1531720800,50,-21.15,55.28,77.0,3.36
206,Kualakapuas,40,ID,1531719000,52,-3.01,114.39,91.4,5.82
207,Bathsheba,40,BB,1531720800,83,13.22,-59.52,80.6,16.11
208,Sao Joao da Barra,0,BR,1531723023,97,-21.64,-41.05,74.48,22.08
209,Yellowknife,40,CA,1531720800,81,62.45,-114.38,53.6,9.17
210,Cumbitara,32,CO,1531723024,72,1.65,-77.58,60.89,0.72
211,Mackay,1,CA,1531720800,63,53.65,-115.58,62.6,2.24
212,Kahului,20,US,1531720560,69,20.89,-156.47,80.6,12.75
213,Oranjestad,40,AW,1531717200,78,12.52,-70.03,82.4,16.11
214,Egvekinot,44,RU,1531723027,55,66.32,-179.17,58.1,4.63
215,Udachnyy,24,RU,1531723028,72,66.42,112.4,58.37,2.73
216,Zheleznodorozhnyy,0,RU,1531720800,65,55.75,38.0,77.0,11.18
217,Harnoli,92,PK,1531723030,88,32.28,71.55,81.23,5.41
218,Negombo,40,LK,1531721400,83,7.21,79.83,78.8,8.05
219,Qarayeri,75,AZ,1531720800,60,40.79,46.31,75.2,23.04
220,Pingliang,76,CN,1531723032,89,35.54,106.68,72.5,7.54
221,Bilma,8,NE,1531723033,11,18.69,12.92,86.0,12.24
222,Helong,12,CN,1531723034,57,25.94,116.13,89.15,3.62
223,Saint-Philippe,1,CA,1531721700,77,45.36,-73.48,73.4,2.24
224,Lixourion,0,GR,1531720200,69,38.2,20.43,78.8,6.64
225,Saint-Pierre,0,FR,1531722600,68,48.95,4.24,68.0,4.7
226,Sitka,64,US,1531723039,81,37.17,-99.65,73.04,9.44
227,Macapa,0,BR,1531720800,100,0.05,-51.07,77.0,2.24
228,Katobu,80,ID,1531723040,87,-4.94,122.53,82.04,3.18
229,Wanning,0,AT,1531720200,77,48.64,13.53,64.4,1.12
230,Eydhafushi,88,MV,1531723042,100,5.1,73.07,81.68,22.86
231,El Balsamo,20,HN,1531720800,100,15.07,-87.47,73.4,2.17
232,Adrar,0,DZ,1531720800,11,27.87,-0.29,87.8,12.75
233,Ozernovskiy,92,RU,1531723044,88,51.5,156.52,55.49,4.41
234,Mathbaria,92,BD,1531723045,100,22.29,89.96,80.42,8.55
235,Cooma,20,AU,1531723046,54,-36.24,149.13,45.95,11.23
236,Nogliki,92,RU,1531723047,94,51.8,143.14,49.73,8.66
237,Harindanga,75,IN,1531720800,89,22.04,88.32,86.0,14.99
238,Dali,100,CN,1531723049,100,25.6,100.24,65.21,2.17
239,Anda,92,CN,1531723050,75,46.41,125.33,83.84,13.69
240,Kahramanmaras,0,TR,1531720200,23,37.58,36.93,84.2,16.11
241,Luderitz,80,NA,1531723051,80,-26.65,15.16,61.43,15.7
242,Shaowu,76,CN,1531723052,52,27.34,117.49,86.45,2.62
243,Yaan,80,NG,1531723053,99,7.38,8.57,72.77,4.18
244,Astoria,1,US,1531720500,93,46.19,-123.83,57.2,5.82
245,Shimoda,75,JP,1531720800,79,34.7,138.93,86.0,18.34
246,Souillac,0,FR,1531722600,88,45.6,-0.6,66.2,11.45
247,Thompson,90,CA,1531720800,93,55.74,-97.86,46.4,9.17
248,Birmitrapur,56,IN,1531723059,86,22.4,84.77,85.55,9.1
249,Ust-Kulom,36,RU,1531723060,58,61.69,53.69,78.26,4.41
250,Le Passage,0,FR,1531722600,77,45.53,5.51,68.0,10.29
251,Tazovskiy,0,RU,1531723062,45,67.47,78.7,79.43,7.09
252,Okhotsk,80,RU,1531723063,97,59.36,143.24,55.13,4.41
253,San Patricio,92,PY,1531723064,87,-26.98,-56.83,69.53,1.5
254,Salinopolis,68,BR,1531723065,100,-0.61,-47.36,78.8,9.44
255,Albanel,75,CA,1531720800,64,48.88,-72.44,68.0,11.41
256,Puerto Ayora,56,EC,1531722983,100,-0.74,-90.35,71.51,8.77
257,Shelburne,1,CA,1531721100,88,44.08,-80.2,75.2,2.24
258,Jackville,40,CI,1531720800,100,5.21,-4.42,75.2,5.82
259,Cam Ranh,100,VN,1531723068,72,11.92,109.15,85.73,5.75
260,Srednekolymsk,92,RU,1531723069,73,67.46,153.71,61.52,3.18
261,Providencia,12,CO,1531723070,82,1.24,-77.6,46.31,2.73
262,Yanam,56,IN,1531723071,84,16.73,82.22,85.64,20.51
263,Cayenne,0,GF,1531720800,100,4.94,-52.33,75.2,5.19
264,Qaanaaq,92,GL,1531723073,99,77.48,-69.36,32.99,1.16
265,Santa Teresa,40,VE,1531720800,88,10.26,-66.69,75.2,2.24
266,Arman,0,RU,1531720800,59,59.7,150.17,64.4,15.66
267,Sokoni,0,CD,1531723075,61,-12.89,28.78,59.54,11.23
268,Margate,40,AU,1531720800,62,-43.03,147.26,53.6,11.41
269,Komsomolskiy,56,RU,1531723077,36,67.55,63.78,79.97,13.8
270,Opelousas,1,US,1531721700,88,30.53,-92.08,82.4,3.36
271,Berlevag,75,NO,1531720200,93,70.86,29.09,55.4,11.41
272,Carnarvon,0,ZA,1531723080,56,-30.97,22.13,24.8,6.64
273,Ancud,88,CL,1531723080,85,-41.87,-73.83,39.29,3.74
274,Sorland,90,NO,1531722000,100,67.67,12.69,55.4,10.29
275,Aranos,0,NA,1531723082,63,-24.14,19.11,51.08,17.6
276,Manjeshwar,75,IN,1531722600,88,12.72,74.89,77.0,13.87
277,Yulara,0,AU,1531720800,21,-25.24,130.99,71.6,8.05
278,Jakar,68,BT,1531723085,78,27.55,90.75,59.72,1.95
279,Chuy,44,UY,1531723085,86,-33.69,-53.46,48.83,14.14
280,Launceston,90,AU,1531720800,81,-41.43,147.14,50.0,13.87
281,Hualmay,20,PE,1531723087,90,-11.1,-77.61,52.61,3.06
282,Cidreira,92,BR,1531723088,99,-30.17,-50.22,60.44,5.19
283,Priiskovyy,88,RU,1531723089,82,51.93,116.63,72.05,9.1
284,Shetpe,12,KZ,1531723090,16,44.14,52.16,100.58,15.59
285,Solnechnyy,56,RU,1531723091,81,50.72,136.64,75.74,3.4
286,Troitskoye,12,RU,1531723092,51,52.98,84.68,79.34,11.01
287,Port Lincoln,8,AU,1531723093,90,-34.72,135.86,60.35,26.11
288,Xihua,0,CN,1531723093,52,33.79,114.53,97.88,11.23
289,Naze,76,NG,1531723094,98,5.43,7.07,71.24,2.62
290,Kamenka,12,RU,1531723095,46,53.19,44.05,83.93,8.66
291,Sinnamary,88,GF,1531723096,100,5.38,-52.96,79.7,7.99
292,Alofi,92,NU,1531720800,94,-19.06,-169.92,75.2,5.82
293,Guerrero Negro,12,MX,1531723098,96,27.97,-114.04,67.37,7.54
294,Zhezkazgan,40,KZ,1531720800,37,47.8,67.71,84.2,11.18
295,Afyonkarahisar,20,TR,1531720200,52,38.76,30.53,66.2,11.41
296,Puerto Narino,75,CO,1531720800,94,-3.77,-70.38,73.4,2.39
297,Puerto Escondido,0,MX,1531722866,99,15.86,-97.07,86.54,10.78
298,La Ronge,20,CA,1531720800,100,55.1,-105.3,44.6,2.24
299,Katsuura,20,JP,1531720800,63,33.93,134.5,91.4,2.24
300,Orlik,36,RU,1531723105,62,52.51,99.83,62.42,2.39
301,Vila Velha,75,BR,1531720800,83,-3.71,-38.6,78.8,12.75
302,Emerald,0,AU,1531723107,29,-23.53,148.16,74.48,4.63
303,Namatanai,44,PG,1531723108,100,-3.66,152.44,80.87,6.76
304,Hamilton,40,BM,1531720500,73,32.3,-64.78,75.2,5.82
305,Nenjiang,68,CN,1531723109,73,49.17,125.23,80.87,4.18
306,Ambon,0,FR,1531722600,72,47.55,-2.56,66.2,3.36
307,Shakawe,0,BW,1531723111,64,-18.36,21.84,55.04,14.58
308,Dawson Creek,40,CA,1531720800,37,55.76,-120.23,69.8,10.29
309,Mandera,64,ET,1531723113,50,3.94,41.86,79.97,17.6
310,Sukumo,0,JP,1531723114,80,32.94,132.72,83.93,4.18
311,Kamuli,8,UG,1531723115,83,0.94,33.12,71.15,5.64
312,Dancalan,92,PH,1531723116,100,12.91,123.59,77.54,12.46
313,Anchorage,1,US,1531720560,76,61.22,-149.89,62.6,6.93
314,Talnakh,0,RU,1531723117,53,69.49,88.39,67.82,5.75
315,Mogadishu,40,SO,1531720800,74,2.04,45.34,80.6,17.22
316,Acari,0,BR,1531723119,82,-6.44,-36.64,65.3,11.23
317,Norman Wells,75,CA,1531721280,63,65.28,-126.83,62.6,8.05
318,Veraval,0,FR,1531722600,64,49.65,0.71,68.0,4.7
319,Mujiayingzi,36,CN,1531723121,70,42.12,118.78,83.84,13.24
320,Kimbe,68,PG,1531723122,100,-5.56,150.15,79.25,2.62
321,Mersing,44,MY,1531723123,77,2.43,103.84,88.34,7.76
322,Basco,40,US,1531721700,100,40.33,-91.2,75.2,2.73
323,Nikolskoye,0,RU,1531720800,41,59.7,30.79,78.8,4.47
324,La Rioja,48,AR,1531723126,90,-29.41,-66.86,49.55,1.95
325,Grand Gaube,75,MU,1531720800,73,-20.01,57.66,75.2,5.82
326,San Cristobal,20,EC,1531720800,93,-0.39,-78.55,39.2,2.24
327,Moron,80,VE,1531723129,98,10.49,-68.2,67.28,1.95
328,Manicore,0,BR,1531723129,91,-5.81,-61.3,73.49,2.06
329,Salalah,90,OM,1531720200,88,17.01,54.1,78.8,6.93
330,Broome,0,GB,1531722000,82,52.47,1.45,64.4,2.24
331,Kamaishi,75,JP,1531720800,74,39.28,141.86,80.6,8.05
332,Ossora,0,RU,1531723133,90,59.24,163.07,56.39,4.63
333,Provideniya,90,RU,1531719000,81,64.42,-173.23,51.8,6.71
334,Miles City,1,US,1531720380,63,46.41,-105.84,64.4,6.93
335,San Luis Rio Colorado,1,MX,1531720620,31,32.47,-114.76,91.4,5.82
336,Acapulco,20,MX,1531720260,83,16.86,-99.88,80.6,2.24
337,Rosarito,40,CO,1531720800,94,4.91,-75.23,68.0,4.7
338,Presidencia Roque Saenz Pena,92,AR,1531723139,91,-26.79,-60.44,70.97,6.98
339,Gayeri,76,BF,1531723139,97,12.65,0.49,71.69,10.56
340,Karpogory,92,RU,1531723140,99,64.0,44.44,61.97,3.06
341,Kondinskoye,0,RU,1531723141,50,59.65,67.41,77.9,3.51
342,Murgab,0,TM,1531720800,25,37.5,61.97,98.6,6.93
343,Toora-Khem,76,RU,1531723143,91,52.47,96.11,61.52,2.17
344,Haines Junction,24,CA,1531723146,66,60.75,-137.51,45.68,2.73
345,Klaksvik,40,FO,1531722000,100,62.23,-6.59,51.8,11.41
346,Vardo,1,US,1531722720,94,39.62,-77.74,73.4,2.06
347,Sarkand,56,KZ,1531723149,65,45.41,79.91,76.82,4.41
348,Aswan,0,EG,1531717200,23,24.09,32.9,87.8,2.24
349,Husavik,76,CA,1531723151,60,50.56,-96.99,66.83,18.84
350,Dispur,75,IN,1531720800,79,26.14,91.79,89.6,10.29
351,Ban Nahin,92,LA,1531723153,99,18.24,104.21,74.21,2.95
352,Terrace,75,CA,1531720800,45,54.52,-128.61,66.2,2.24
353,Gazli,0,UZ,1531723155,18,40.13,63.45,99.32,10.45
354,Mangan,80,IN,1531723156,86,27.5,88.54,53.51,1.72
355,Hervey Bay,0,AU,1531723157,93,-25.3,152.85,65.84,2.95
356,Rawson,0,AR,1531723159,82,-43.3,-65.11,23.09,2.73
357,Calvinia,92,ZA,1531723160,62,-31.47,19.78,34.25,2.39
358,Hericourt,12,FR,1531720800,82,47.57,6.76,64.4,3.36
359,Yerbogachen,68,RU,1531723162,71,61.28,108.01,63.59,3.62
360,Saldanha,24,PT,1531723164,88,41.42,-6.55,58.82,4.63
361,Tres Picos,8,MX,1531723164,71,16.23,-93.58,70.52,2.62
362,Vostok,36,RU,1531723165,86,46.45,135.83,73.67,2.73
363,Saint Anthony,1,US,1531720560,52,43.97,-111.68,69.8,8.05
364,Porto Velho,0,BR,1531720800,83,-8.75,-63.87,75.2,2.51
365,Las Vegas,1,US,1531721700,32,36.17,-115.15,96.8,3.36
366,Coahuayana,24,MX,1531723169,86,18.62,-100.35,64.94,2.06
367,Challapata,8,BO,1531723170,79,-18.9,-66.78,23.45,2.62
368,Sydney,0,AU,1531720800,21,-33.85,151.22,62.6,11.41
369,Krasnohrad,24,UA,1531723171,88,49.38,35.45,74.3,3.96
370,Shreveport,1,US,1531721700,58,32.52,-93.77,87.8,6.93
371,Kundgol,92,IN,1531723173,99,15.25,75.25,71.87,11.68
372,Nuevitas,36,CU,1531720200,100,21.55,-77.27,75.2,5.82
373,Tanabe,75,JP,1531720800,83,33.73,135.39,84.2,8.05
374,Luanda,75,AO,1531717200,83,-8.83,13.24,71.6,4.7
375,Tuatapere,64,NZ,1531723177,98,-46.13,167.69,50.09,8.1
